"","access_clean","access_eletric","agro_land","water_total","co2_total","crop_prod","air_transport","fert_cons","food_prod","forest_area","gov_effective","land_area","livestock_prod","methane_total","nitrous_total","air_pollution","pop_density","reg_quality","renewables","fish_total","urban_pop","renew_water","sdi","ndgain","paris","continent"
"SLB",8.9,69.3951644897461,4.28724544480171,NA,0.451560238402472,103.67,0,18.3369565217391,100.05,90.1643444087174,-0.88116580247879,27990,101.25,408.969313,23.099995,12.89495904,24.115505537692,-0.835665345191956,48.36,74042.88,24.21,66222.9089783153,NA,39.8985859637159,"Yes","Oceania"
"SOM",3.1,49.2,70.3398476105461,3.298,0.041029202880867,101.5,0,0.845409090909091,100.51,9.6546529792457,-2.2808883190155,627340,100.38,18645.44144,6526.808863,30.36142727,25.4747027130424,-2.14859175682068,95.03,NA,45.554,375.438794090593,NA,33.680382065791,"Yes","Africa"
"ZAF",87.1,85,79.4178502831612,20,7.68890762322173,106.92,565.20947,91.7907675,104.54,14.0850967364334,0.12788100540638,1213090,103.04,73420.57871,18209.84905,28.67475434,47.8835494481036,0.00850539095699787,8.84,458339.68,66.856,771.256177473621,0.678,48.6939605108667,"Yes","Africa"
"SSD",0,6.77396583557129,44.7057427246689,0.658,0.174641876951273,110.17,NA,0.089551927172506,107.01,11.3256215087114,-2.38367080688477,631930,105.4,29005.56131,18251.21843,37.55277786,16.5329482695868,-1.984623670578,31.56,32035,19.899,2488.59410321884,NA,NA,"Yes","Africa"
"ESP",100,100,52.4584917258728,29.2145,5.13179880095904,102.04,1191.466578,157.475905695908,106.66,37.1677215644695,0.968881249427795,499570.036,114.22,39342.10777,20518.47549,9.728788477,94.3508089023978,1.037264585495,16.68,1199740.05,80.565,2359.18923406906,0.443,61.8414842653767,"Yes","Europe"
"LKA",30.2,99.7613525390625,45.4472947072851,12.946,1.07452644131542,101.09,394.05,190.038968401823,107.94,34.2067102490331,-0.124889262020588,61864.47,113.66,7986.473398,2525.131151,19.96439581,352.431694638296,-0.232445597648621,46.13,506076.89,18.585,2421.68508920791,0.836,46.5322516183549,"Yes","Asia"
"KNA",100,100,23.0769230769231,0.0122,5.18737424547284,111.06,NA,5.196,97.08,42.3076923076923,0.490093946456909,260,63.96,81.219383,7.189432,8.789142812,183.507692307692,0.486974269151688,1.29,654,30.799,503.018108651912,NA,54.6131552683368,"Yes","Americas"
"LCA",94.8,100,16.2950819672131,0.0429,2.9935660169221,96.11,NA,239.779026217228,98.81,34.0491803278688,0.341672003269196,610,104.44,270.581816,27.733738,21.22131742,292.759016393443,0.30028572678566,10.02,1964.82,18.754,1679.89114305393,NA,53.7884437047455,"Yes","Americas"
"VCT",93.7,100,17.9487179487179,0.0079,2.24066943692577,105.3,NA,133.225,104.15,73.1794871794872,0.341672003269196,390,93.71,67.506634,9.922406,21.12973864,269.035897435897,0.274758160114288,5.39,1969.03,52.614,953.070794098586,NA,NA,"Yes","Americas"
"SDN",58,57.5705184936523,60.3129764453961,26.935,0.511922936509227,125.21,0.0755,7.10307199292779,114.97,9.92061563169165,-1.65864384174347,1868000,104.78,55211.20151,28787.08178,54.67729786,23.1435187366167,-1.66968011856079,59.64,50770,34.936,92.5238572187564,NA,32.9297459776374,"Yes","Africa"
"SUR",93.9,97.9301605224609,0.538461538461538,0.6159,4.42581305045302,89.67,32.227,127.056935483871,94.71,97.4905769230769,-0.626823604106903,156000,118.51,1406.073303,186.922735,21.17742119,3.84808333333333,-0.701412081718445,14.84,31457.5,66.095,164917.266504637,0.7,46.7708666313127,"Yes","Americas"
"SWE",100,100,7.37761126098893,2.4614,3.40159396635064,105.2,985.655671715528,97.6894792372014,100.78,68.6990605243879,1.67409884929657,407283.59,97.57,4853.871648,6193.201422,5.647572855,25.2376654802124,1.79326152801514,52.87,195916.3,87.708,16636.0424042019,0.294,71.7667760214455,"Yes","Europe"
"CHE",100,100,38.1050341397781,1.704,4.35860986463416,98.23,1640.735,163.427996982906,97.32,32.034468558678,1.91630423069,39509.63,97.07,5041.752034,2400.088339,9.902709701,217.042781721823,1.65198791027069,24.76,3740.44,73.849,4711.21642675225,0.26,72.6185120842543,"Yes","Europe"
"SYR",96.9,89.2305679321289,75.7574143658444,13.9644,1.33545948848982,129.66,0.024356690607853,7.12751813862705,113.74,2.84310842454937,-1.74486637115479,183630,83.99,15039.56887,3189.318019,30.95362503,109.449714099003,-1.779421210289,0.99,6330,54.821,354.856748480253,0.604,38.0351092496507,"No","Asia"
"TJK",83.3,99.4458847045898,35.4362706246848,10.602,0.960233171179232,131.18,2.5060054231253,91.9347429519071,138.7,3.0463289862382,-1.11671459674835,138790,146.88,5640.656746,2413.056145,38.31858602,67.2743209164925,-1.06183338165283,40.07,2452.33,27.309,6796.61343152615,0.719,48.184605125447,"Yes","Asia"
